Espessura,Angulo,Velocidade ,Raio,Malha,Falha,h_estampage,A_inicial,A_S_parede,A_S_curva,A_S_fundo,A_S_total,L1,L2,L3,E1,E2,E3
0.43,60,150,4,2,0,10.25,1963.495,1466.86,446.121,710.7,2623.681,3.06,2.5,0.241,0.53,0.25,-0.8795
0.43,60,150,4,2,0,10.25,1963.495,1466.86,446.121,710.7,2623.681,3.04,2.48,0.243,0.52,0.24,-0.8785
0.43,60,150,4,2,0,10.25,1963.495,1466.86,446.121,710.7,2623.681,3.08,2.52,0.239,0.54,0.26,-0.8805
0.43,70,150,4,2,0,10.5,1963.495,1370.412,565.935,832.322,2768.669,3.85,2.47,0.201,0.925,0.235,-0.8995
0.43,70,150,4,2,0,10.5,1963.495,1370.412,565.935,832.322,2768.669,3.86,2.45,0.199,0.93,0.225,-0.9005
0.43,70,150,4,2,0,10.5,1963.495,1370.412,565.935,832.322,2768.669,3.87,2.45,0.201,0.935,0.225,-0.8995
0.43,80,150,4,2,0,10.75,1963.495,1295.795,687.735,932.739,2916.269,4.25,2.53,0.167,1.125,0.265,-0.9165
0.43,80,150,4,2,0,10.75,1963.495,1295.795,687.735,932.739,2916.269,4.28,2.51,0.165,1.14,0.255,-0.9175
0.43,80,150,4,2,0,10.75,1963.495,1295.795,687.735,932.739,2916.269,4.3,2.48,0.168,1.15,0.24,-0.916
0.43,90,150,4,2,0,11,1963.495,1236.592,811.142,1017.876,3065.61,4.75,2.53,0.152,1.375,0.265,-0.924
0.43,90,150,4,2,0,11,1963.495,1236.592,811.142,1017.876,3065.61,4.77,2.55,0.151,1.385,0.275,-0.9245
0.43,90,150,4,2,0,11,1963.495,1236.592,811.142,1017.876,3065.61,4.74,2.52,0.151,1.37,0.26,-0.9245
0.43,60,150,4,2,0,12,1963.495,1695.394,419.529,618.424,2733.347,4.16,2.48,0.181,1.08,0.24,-0.9095
0.43,60,150,4,2,0,12,1963.495,1695.394,419.529,618.424,2733.347,4.17,2.46,0.18,1.085,0.23,-0.91
0.43,60,150,4,2,0,12,1963.495,1695.394,419.529,618.424,2733.347,4.18,2.46,0.182,1.09,0.23,-0.909
0.43,70,150,4,2,0,12.5,1963.495,1633.478,543.584,759.539,2936.601,4.35,2.49,0.171,1.175,0.245,-0.9145
0.43,70,150,4,2,0,12.5,1963.495,1633.478,543.584,759.539,2936.601,4.33,2.47,0.169,1.165,0.235,-0.9155
0.43,70,150,4,2,0,12.5,1963.495,1633.478,543.584,759.539,2936.601,4.37,2.51,0.169,1.185,0.255,-0.9155
0.43,80,150,4,2,0,12.75,1963.495,1563.679,675.36,894.95,3133.989,5.15,2.55,0.142,1.575,0.275,-0.929
0.43,80,150,4,2,0,12.75,1963.495,1563.679,675.36,894.95,3133.989,5.17,2.57,0.141,1.585,0.285,-0.9295
0.43,80,150,4,2,0,12.75,1963.495,1563.679,675.36,894.95,3133.989,5.14,2.54,0.141,1.57,0.27,-0.9295
0.43,90,150,4,2,1,13,1963.495,1513.052,811.142,1017.876,3342.07,0,0,0,0,0,0
0.43,90,150,6,2,0,13,1963.495,1236.592,1173.677,804.248,3214.517,5.45,2.69,0.122,1.725,0.345,-0.939
0.43,90,150,6,2,0,13,1963.495,1236.592,1173.677,804.248,3214.517,5.48,2.67,0.122,1.74,0.335,-0.939
0.43,90,150,6,2,0,13,1963.495,1236.592,1173.677,804.248,3214.517,5.5,2.64,0.121,1.75,0.32,-0.9395
0.43,60,150,4,2,0,13.75,1963.495,1911.1,392.938,532.563,2836.601,4.17,2.45,0.186,1.085,0.225,-0.907
0.43,60,150,4,2,0,13.75,1963.495,1911.1,392.938,532.563,2836.601,4.2,2.43,0.184,1.1,0.215,-0.908
0.43,60,150,4,2,0,13.75,1963.495,1911.1,392.938,532.563,2836.601,4.22,2.4,0.184,1.11,0.2,-0.908
0.43,70,150,4,2,0,14.25,1963.495,1855.675,524.026,698.586,3078.287,4.32,2.51,0.152,1.16,0.255,-0.924
0.43,70,150,4,2,0,14.25,1963.495,1855.675,524.026,698.586,3078.287,4.3,2.49,0.151,1.15,0.245,-0.9245
0.43,70,150,4,2,0,14.25,1963.495,1855.675,524.026,698.586,3078.287,4.34,2.49,0.152,1.17,0.245,-0.924
0.43,80,150,4,2,1,14.75,1963.495,1827.064,662.985,857.942,3347.991,0,0,0,0,0,0
0.43,80,150,6,2,0,14.75,1963.495,1609.738,968.446,692.538,3270.722,4.53,2.5,0.147,1.265,0.25,-0.9265
0.43,80,150,6,2,0,14.75,1963.495,1609.738,968.446,692.538,3270.722,4.54,2.48,0.146,1.27,0.24,-0.927
0.43,80,150,6,2,0,14.75,1963.495,1609.738,968.446,692.538,3270.722,4.55,2.52,0.145,1.275,0.26,-0.9275
0.43,90,150,4,2,1,15,1963.495,1789.513,811.142,1017.876,3618.531,0,0,0,0,0,0
0.43,90,150,6,2,1,15,1963.495,1513.052,1173.677,804.248,3490.977,0,0,0,0,0,0
0.43,90,150,8,2,0,15,1963.495,1236.592,1507.52,615.752,3359.864,4.76,2.59,0.142,1.38,0.295,-0.929
0.43,90,150,8,2,0,15,1963.495,1236.592,1507.52,615.752,3359.864,4.78,2.61,0.14,1.39,0.305,-0.93
0.43,90,150,8,2,0,15,1963.495,1236.592,1507.52,615.752,3359.864,4.75,2.58,0.141,1.375,0.29,-0.9295
0.43,60,150,4,2,0,15,1963.495,2057.322,373.944,475.16,2906.426,4.15,2.52,0.178,1.075,0.26,-0.911
0.43,60,150,4,2,0,15,1963.495,2057.322,373.944,475.16,2906.426,4.13,2.5,0.176,1.065,0.25,-0.912
0.43,60,150,4,2,0,15,1963.495,2057.322,373.944,475.16,2906.426,4.17,2.54,0.175,1.085,0.27,-0.9125
0.43,70,150,4,2,0,16,1963.495,2070.42,504.468,640.182,3215.07,4.98,2.76,0.142,1.49,0.38,-0.929
0.43,70,150,4,2,0,16,1963.495,2070.42,504.468,640.182,3215.07,5.01,2.74,0.14,1.505,0.37,-0.93
0.43,70,150,4,2,0,16,1963.495,2070.42,504.468,640.182,3215.07,5.03,2.71,0.141,1.515,0.355,-0.9295
0.43,80,150,4,2,1,16.5,1963.495,2053.833,652.156,826.201,3532.19,0,0,0,0,0,0
0.43,80,150,6,2,1,16.5,1963.495,1839.762,952.203,664.051,3456.016,0,0,0,0,0,0
0.43,80,150,8,2,1,16.5,1963.495,1622.618,1234.896,519.596,3377.11,0,0,0,0,0,0
